feature,mean_abs_shap
discharge_group_TransferFacility,0.32351062
age_midpoint,0.24779621
gender_Male,0.19198689
num_procedures,0.15178224
time_in_hospital,0.15177937
race_Caucasian,0.13379541
number_diagnoses,0.12503812
specialty_group_Missing,0.12116955
num_active_diabetes_meds,0.11490519
diag1_group_Respiratory,0.07806855
a1c_result_NotMeasured,0.071219146
diag1_group_Other,0.06549774
number_inpatient,0.06050972
insulin_Steady,0.05486656
diabetes_med_Yes,0.053918585
discharge_group_HomeHealthCare,0.047376357
source_group_Referral,0.044792403
admission_group_Emergency,0.043195482
diag1_group_Digestive,0.041746926
num_medications,0.03951875
total_prior_visits,0.036814928
insulin_No,0.03587388
discharge_group_Other,0.034839157
specialty_group_InternalMedicine,0.033387724
num_lab_procedures,0.033325467
meds_per_day,0.032463748
diag1_group_Musculoskeletal,0.028231323
diag1_group_Genitourinary,0.025770536
admission_group_Urgent,0.02511435
specialty_group_Family/GeneralPractice,0.023366444
diag1_group_Injury,0.021448255
number_outpatient,0.020531544
source_group_Transfer,0.01986336
insulin_Up,0.019283563
specialty_group_Other,0.016352348
diag1_group_Diabetes,0.015031068
med_change_No,0.014867699
labs_per_day,0.013514909
diag1_group_Neoplasms,0.011452366
secondary_circulatory,0.00923219
admission_group_Other,0.008634648
a1c_result_>8,0.008403017
source_group_Other,0.007918489
specialty_group_Emergency/Trauma,0.0076565105
specialty_group_Orthopedics-Reconstructive,0.0066916854
secondary_diabetes,0.006073878
had_prior_inpatient,0.0056076474
number_emergency,0.004732904
specialty_group_Orthopedics,0.0039388193
specialty_group_Nephrology,0.0032572886
max_glu_serum_NotMeasured,0.003225596
discharge_group_LeftAMA,0.0030041856
a1c_result_Norm,0.0014663674
specialty_group_Radiologist,0.0014074658
specialty_group_Surgery-General,0.0013764248
race_Other,0.0010277673
race_Unknown,0.001019423
max_glu_serum_Norm,0.0007543244
race_Hispanic,0.00020711309
max_glu_serum_>300,0.00012488251
race_Asian,3.61045e-05
diag1_group_Unknown,0.0
